Name,logo_source,raise,Code,Demo,demo_type,funding_method,vc_raise,symbol,platform,Site,description,Category,twitter_handle,spec_url,Location,Notable
aimedis,https://aim.aimedis.com/img/logo_new.png,-,-,-,-,ICO,-,AIM,ERC20,https://aim.aimedis.com,Platform to store and share medical records,Marketplace,@AimedisGlobal,-,"Steyl, Netherlands",-
Ambrosus,https://d33wubrfki0l68.cloudfront.net/9e1fb050865401a69f27b46683de38626a9372d0/9efc0/assets/logo-color-2.png,$63.00 ,https://github.com/ambrosus,-,-,ICO,-,AMB,ERC20,https://ambrosus.com/index.html,Quality control and assurance of pharmaceutical products,Supply Chain,@AmbrosusAMB,https://ambrosus.com/assets/Ambrosus-White-Paper-V8-1.pdf,"Zug, Switzerland",-
AMCHART,https://amchart.io/wp-content/themes/amchart/images/logos/logo.png,$45.00 ,-,-,-,ICO,-,AMC,ERC20,http://amchart.io/,Incentive based EHR management.,Ownership,@AMCHART4ALL,http://amchart.io/white-paper/,"Austin, TX, USA",-
ARNA_Panacea,https://token.arnagenomics.com/wp-content/uploads/2018/01/logo-min.png,$0.45 ,-,-,-,-,-,ARNA,ERC20,https://token.arnagenomics.com/,Research oriented data exchange service focused on cancer.,Research and Clinical Trials,@ArnaGenomics,https://token.arnagenomics.com/ARNA_whitepaper_en.pdf,"Moscow, Russia",-
Beat,https://beat.org/img/logo-light.svg,$22.00 ,-,-,-,ICO,-,BEAT,ERC20,https://beat.org,Consumer health pipeline for sharing wearable and fitness data with EHR's,General Ownership,-,https://beat.org/beat_whitepaper.pdf,"Hamburg, Germany",-
Bitmark,https://bitmark.com/assets/img/logo-header.svg,$1.70 ,https://github.com/project-bitmark/bitmark,-,-,SEED,1.7,BTM,BTC,https://bitmark.com,A universal system for digital property rights,General Ownership,@BitmarkInc,https://bitmark.com/resources/white-papers,"Taipei, Taiwan",-
BlockMedx,https://blockmedx.com/static/images/svg/header-logo.svg,-,https://github.com/blockmedx,https://www.blockmedx.com/prototype/login.html,0,ICO,-,MDX,ERC20,https://blockmedx.com/en/,"Electronic prescription drug supply chain management, focused on opioids and other notoriously mismanaged drugs.",Research and Clinical Trials,@blockmedx,info@blockmedx.com,"Lexington, KY, USA",-
BlockRx,https://www.blockrx.com/wp-content/uploads/2017/07/mark-2-darker.png,-,-,https://www.youtube.com/watch?time_continue=1&v=Y-EEym5xv2Q,2,ICO,-,BKRx,-,https://www.blockrx.com/,"Pharmaceutical supply chain, coupled with clinical trial outcomes and regulation approval.",Stakeholder Alignment,@BlockRxProject,https://www.blockrx.com/wp-content/uploads/2017/10/Whitepaper-Design-Extended.pdf,"Philadelphia, Pennsylvania, USA",-
BowheadHealth,https://bowheadhealth.com/images/uploads/bowhead.png,$1.00 ,-,-,-,ICO,-,AHT,ERC20,https://bowheadhealth.com/,Hardware device that monitors a customer's biometric data to dispense medicine and supplements. ,"Payments, Claims and Other Services",@bowheadhealth,https://drive.google.com/drive/u/1/folders/0B2CimLH8gflNMzY0WEFhRlBxSlU,Singapore,-
BurstIQ,https://www.burstiq.com/wp-content/uploads/2016/01/burstIQ-logo-retina.png,$5.00 ,https://github.com/BurstIQ,https://www.youtube.com/watch?v=SWxlOzxp0b8,2,SEED,5,BiQ,-,https://www.burstiq.com/,"Personalized data integration across EHR , wearables and social profile",Interoperability,@BurstIQ,https://www.burstiq.com/wp-content/uploads/2017/08/BurstIQ-whitepaper_19Jul2017reduced.pdf,"Denver, Colorado, USA",-
CareMe,https://carefourme.com/wp-content/uploads/thegem-logos/logo_e68cad3508180ab819fb9e28801b83b8_2x.png,-,https://github.com/care4me,https://care4me.wilderbase.com/,1,-,-,-,ERC20,https://carefourme.com/,Connects nurses to patients in need of care,General Marketplace,@Care4me_,https://carefourme.com/wp-content/uploads/2017/07/Care-Coin-White-Papers-v1.0.pdf,"Miama, Florida, USA",-
CareX_Blockchain_Platform,https://carex.tech/assets/images/logo.png,$10.00 ,https://github.com/CareXTech,https://www.youtube.com/watch?v=n5lAHqmJriQ,2,ICO,-,CARE,ERC20,https://carex.tech/,A method for the payment of health care services.,"Payments, Claims and Other Services",@carexblockchain,https://icobench.com/ico/carex,"Bellaire, Texas, USA",-
Citizen_Health,https://citizenhealth.io/wp-content/uploads/2017/09/citizen-health-dark-logo-214x60.png,-,-,-,-,ICO,-,MDX,ERC20,https://citizenhealth.io/,A peer-to-peer health market owned and controlled by the people & physicians.,Marketplace,@CitizenHealthio,-,"Hattiesburg, MS, USA",-
Clinicoin,https://doc.ai/images/logo.svg,-,https://github.com/clinicoin/,-,-,ICO,-,CLIN,ERC20,https://clinicoin.io/en,Clinicoin is a blockchain platform that pays you to be healthy,General Ownership,@clinicoin,https://www.mosio.com/noidx/Clinicoin_Whitepaper_2018.pdf,"Seattle, WA, USA",-
CoinHealth,https://bitcoincryptocurrency.com/wp-content/uploads/2018/01/coinhealth-696x449.jpg,$0.10 ,https://github.com/CoinHealth/CoinHealth,-,-,ICO,-,COINHEALTH,WAVES,https://coinhealth.io/,"Mobile platform for medical records, verification, and payment solutions",Patient Data Management,@coinhealth1,https://icobench.com/ico/coinhealth,"Dallas, Texas, USA",-
CoralHealth,https://cdn-images-1.medium.com/max/1600/1*qpL3FUGULJ8rmxVD0BEtew.png,-,https://github.com/mycoralhealth,https://tips.mycoralhealth.com/,3,-,-,-,-,https://mycoralhealth.com,Aligning the interests of different players in the healthcare ecosystem,Stakeholder Alignment,@myCoralHealth,https://docsend.com/view/4xdqkp6,"Vancouver, Canada",-
Cryogen,http://kriorus.ru/sites/kriorus/files/beb8f88c-98d3-4526-ade2-143453cf2688.png,$2.50 ,-,https://www.youtube.com/watch?v=OsaIqiLnzRo,2,ICO,-,CRYO,ERC20,https://en.cryogen.me/,Reversible freezing of donor organs and organisms for the purpose of life extension and long space flights.,Research and Clinical Trials,@ICOcryogen,https://icobench.com/ico/cryogen,"Moscow, Russia",-
CureCoin,https://curecoin.net/wp-content/uploads/2016/05/Carp.png,$6.80 ,https://github.com/cygnusxi/CurecoinSource,https://curecoin.net/knowledge-base/folding-for-curecoin/how-do-i-start-folding-for-curecoin-quick/,1,ICO,-,CURE,ERC20,https://curecoin.net/,A protein folding simulation Distributed Computing Network,Research and Clinical Trials,@Curecoin_Team,-,USA,-
CoverUs,https://steemitimages.com/0x0/https://steemitimages.com/DQmRtiRwSxh6GpzmP87858JZfJ3VmHQxwXwJxu6ToEScD9z/CoverUS%20Logo.jpg,-,-,-,-,-,-,-,-,https://www.coverus.io/,Broker your health data to interested parties,"Payments, Claims and Other Services",@CoverUSHealth,-,"Brooklyn, NY, USA",-
Datum,https://tokenmarket.net/blockchain-static/ethereum/assets/datum-network/logo_big.png,$7.20 ,https://github.com/datumnetwork,https://app.datum.org/,0,ICO,-,DAT,ERC20,https://datum.org,NoSQL database backed by a blockchain ledger,Marketplace,@datumnetwork,https://datum.org/assets/Datum-WhitePaper.pdf,Switzerland,-
Dentacoin,https://themerkle.com/wp-content/uploads/2017/07/dentacoin-logo-2.png,$2.10 ,https://github.com/Dentacoin,https://dentacoin.us15.list-manage.com/subscribe/post?u=2db886e44db15e869246f6964&id=6906b05278,3,ICO,-,DCN,ERC20,https://www.dentacoin.com/,Dental care marketplace,Marketplace,@dentacoin,https://www.dentacoin.com/white-paper/Whitepaper-en.pdf,"Maastricht, Netherlands",-
DentalFix,https://cdn-images-1.medium.com/max/1361/1*vxjegwHIV4UoLR6i7Ro3tQ.jpeg,$0.15 ,-,-,-,ICO,-,DFBT,WAVES,http://www.che-ss.com/dentalfix-ico/,Dental clinics and the supply chain.,Auditing of Supply Chain,@DentalfixK,https://drive.google.com/file/d/0B2-rqxQ4OfPEV3FkYjNON3lYX3M/view,"Saint Petersburg, Russia",-
Digipharm,https://www.digipharm.ch/images/digipharm-logo-blue.png,-,-,https://www.youtube.com/watch?v=75zWPNKx9Qk,2,-,-,-,-,www.digipharm.ch,Value based healthcare access,Marketplace,@digipharmteam,-,"Zug, Switzerland",-
Doc_Coin,https://pbs.twimg.com/profile_images/940240806601826304/Qkv2PXcu_400x400.jpg,-,https://github.com/DocCoinICO,-,-,ICO,-,DOC,ERC20,https://www.doc-coin.com/,"Telehealth, expedited care and access",Interoperability,@Doc_Coin,https://www.doc-coin.com/white-paper-eng,Russia,-
doc.ai,https://tokensale.doc.ai/images/logo.png,$12.30 ,https://github.com/doc-AI,https://inclusive.doc.ai/,1,ICO,-,NRN,ERC20,https://doc.ai/,A mobile app for aquiring and exploring -OMICS data,Research and Clinical Trials,@_doc_ai,https://s3-us-west-1.amazonaws.com/ai.doc.static/pdf/whitepaper.pdf?_t=1508776745697,"Palo Alto, California, USA",-
EarthMedz,https://earthmedz.io/wp-content/uploads/2018/03/EARTH-MEDZ3-logo-copy.png,-,-,-,-,ICO,-,ETD,ERC20,https://earthmedz.io,Matching specialists and patients with rare conditions,Stakeholder Alignment,@earthmedz,-,Australia,-
ELCoin,https://icobench.com/images/icos/icons/elcoin.jpg,-,https://github.com/ElcoinCurrency/ElcoinContract,https://play.google.com/store/apps/details?id=com.elcoin.wallet&hl=en,0,ICO,-,ELC,ERC20,https://elcoin.io/,Expanding the availability of innovative medical equipment,Auditing of Supply Chain,@ELCOIN_IO,https://elcoin.io/White_Paper%200.9_v3.pdf,"Riga, Latvia",-
Elige.re,https://icomarks.com/files/companies/11/960968b604be102ec2abfcb8750d4b98.jpg,-,https://github.com/eligere,-,-,ICO,-,ELG,ERC20,https://www.elige.re/,Peer shared computational power for protein folding,Research and Clinical Trials,@elige_re,http://www.elige.re/whitepaper.pdf,Russia,-
Embleema,https://s3.amazonaws.com/main-newsbtc-images/2017/12/31111019/embleem.png,-,https://github.com/Embleema/Embleema,-,-,-,-,-,-,https://embleema.com/,PatientTruthÂª for cloud based medical records,General Ownership,@Embleema,-,"New York, NY, USA",-
Encrypgen,https://assets.coingecko.com/coins/images/1215/large/encrypgen.png?1511403548,$12.00 ,https://github.com/encrypgen,https://my.encrypgen.com/login,1,ICO,-,DNA,ERC20,https://www.encrypgen.com/,Coud storage and sharing of genomic data,General Ownership,@Encrypgen ,https://encrypgen.com/wp-content/uploads/2017/05/gene-chain.pdf,"Coral Springs, Florida, USA",-
Enome,https://i.vimeocdn.com/video/663723062_780x439.jpg,-,-,-,-,-,-,-,-,https://enome.io/,Allows consumers to anonymously share their data for medical research.,Ownership,@EnomeIo,-,"Sydney, Australia",-
Eterly,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_auto,b_white,q_auto:eco/i2nh8fjedr4wtsdnyccp",-,-,https://itunes.apple.com/us/app/eterly/id1299757498?mt=8,1,ICO,-,LTY,ERC20,http://www.eterly.com/,"Health and fitness advisor focusing on longevity, using token-based incentives",Stakeholder Alignment through incentivizationÃ_,@EterlyLife,-,"Vancouver, Canada",-
Etheal,https://pbs.twimg.com/profile_images/905443871198507008/_xZ7OteP_400x400.jpg,-,-,-,-,ICO,-,HEAL ,ERC20,http://etheal.com/,Trusted review system for medical tourism,Marketplace,@etheal_com,-,"Budapest, Hungary",-
Faima,https://faima.ai/img/logo.png,-,-,-,-,ICO,-,MEDS,ERC20,https://faima.ai,AI driven diagnosis and clinical decision support,Decision support,-,-,"Moscow, Russia",-
