Name,Site,Logo Urls,Category,Location,Code,Demo,Technical Whitepaper,Professional Inv.,Inv. ($MM),ICO,ICO ($MM),Funding Method,Platform,Coin Symbol,Twitter Handle,Description,Notables,Dead
aimedis,https://aim.aimedis.com,https://aim.aimedis.com/img/logo_new.png,Marketplace,"Steyl, Netherlands",,,,,,Yes,,ICO,Ethereum,AIM,@AimedisGlobal,Platform to store and share medical records,,
Ambrosus,https://ambrosus.com/index.html,https://d33wubrfki0l68.cloudfront.net/9e1fb050865401a69f27b46683de38626a9372d0/9efc0/assets/logo-color-2.png,Supply Chain,"Zug, Switzerland",https://github.com/ambrosus,,https://ambrosus.com/assets/Ambrosus-White-Paper-V8-1.pdf,,,Yes,63,ICO,Ethereum,AMB,@AmbrosusAMB,Quality control and assurance of pharmaceutical products,,
AMCHART,http://amchart.io/,https://amchart.io/wp-content/themes/amchart/images/logos/logo.png,Patient Data Management,"Austin, TX, USA",,,http://amchart.io/white-paper/,,,Yes,45,ICO,Ethereum,AMC,@AMCHART4ALL,Incentive based EHR management.,,
ARNA Panacea,https://token.arnagenomics.com/,https://token.arnagenomics.com/wp-content/uploads/2018/01/logo-min.png,Research and Clinical Trials,"Moscow, Russia",,,https://token.arnagenomics.com/ARNA_whitepaper_en.pdf,,,,,,Ethereum,ARNA,@ArnaGenomics,Research oriented data exchange service focused on cancer.,,
Beat,https://beat.org,https://beat.org/img/logo-light.svg,Marketplace,"Hamburg, Germany",,,https://beat.org/beat_whitepaper.pdf,,,Yes,22,ICO,Ethereum,BEAT,@beattoken,Consumer health pipeline for sharing wearable and fitness data with EHR's,,
Bitmark,https://bitmark.com,https://bitmark.com/assets/img/logo-header.svg,"Payments, Claims and Other Services","Taipei, Taiwan",https://github.com/project-bitmark/bitmark,https://bitmark.com/tools-api,,Yes,1.7,,,SEED,BTC,BTM,@BitmarkInc,A universal system for digital property rights,,
BlockMedx,https://blockmedx.com/en/,https://blockmedx.com/static/images/svg/header-logo.svg,Supply Chain,"Lexington, KY, USA",https://github.com/blockmedx,,,,,Yes,,ICO,Ethereum,MDX,@blockmedx,"Electronic prescription drug supply chain management, focused on opioids and other notoriously mismanaged drugs.",,
BlockRx,https://www.blockrx.com/,https://www.blockrx.com/wp-content/uploads/2017/07/mark-2-darker.png,Supply Chain,"Philadelphia, Pennsylvania, USA",,,https://www.blockrx.com/wp-content/uploads/2017/10/Whitepaper-Design-Extended.pdf,,,Yes,,ICO,,BKRx,@BlockRxProject,"Pharmaceutical supply chain, coupled with clinical trial outcomes and regulation approval.",,
BowheadHealth,https://bowheadhealth.com/,https://bowheadhealth.com/images/uploads/bowhead.png,Digital Medicine,Singapore,,,https://drive.google.com/drive/u/1/folders/0B2CimLH8gflNMzY0WEFhRlBxSlU,,,Yes,1,ICO,Ethereum,AHT,@bowheadhealth,Hardware device that monitors a customer's biometric data to dispense medicine and supplements.,,
Bron.tech,https://bron.tech,https://bron.tech/images/logo/brontech-logo-color.png,Patient Data Management,"Sydney, New South Wales, Australia",,,,Yes,1.3,,,SEED,,BRON,@BrontechDapps,Platform for data sharing and identity management,,
